year,window,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
1985,audit_1985_1994,jae_b97f03ed490d,10.5032_jaatea.1985.04066.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04066.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04066.json,Route_B_Legacy,ocr,era_3,7,14735,13377,3271,17,6627,0,1,0,1,9899,0,1317,402,0.3052391799544419,0.0002020406101626427,0.05321652719665272
1985,audit_1985_1994,jae_6b9b1363c8ea,10.5032_jaatea.1985.04073.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04073.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04073.json,Route_B_Legacy,ocr,era_3,7,14857,13746,914,7796,17,0,0,1,1,8711,0,1182,347,0.29357021996615906,0.0008035816783377339,0.03842781998831093
1985,audit_1985_1994,jae_4039444c7510,W292879723.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/W292879723.pdf,data/structured/Route_B_Legacy/1985/W292879723.json,Route_B_Legacy,ocr,era_3,8,19156,18319,936,1767,12951,0,0,0,0,15656,0,2011,548,0.27250124316260566,0.000510986203372509,0.050945421517628604
1985,audit_1985_1994,jae_2dd25eb9d30d,W2991851284.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/W2991851284.pdf,data/structured/Route_B_Legacy/1985/W2991851284.json,Route_B_Legacy,ocr,era_3,6,14757,14429,3970,3348,6823,0,0,0,0,14143,0,2091,666,0.31850789096126253,0.0004242381390086969,0.007507766655160511
1986,audit_1985_1994,jae_a35beaa090ac,10.5032_jaatea.1986.01002.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01002.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01002.json,Route_B_Legacy,ocr,era_3,5,18683,18559,17,17,17,1,1,1,1,0,1,0,0,,,
1986,audit_1985_1994,jae_b644f3736027,10.5032_jaatea.1986.01007.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01007.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01007.json,Route_B_Legacy,ocr,era_3,6,15374,14609,3023,3205,8023,0,0,0,0,14253,0,1998,535,0.2677677677677678,0.0004209640075773521,0.01970783991701962
1986,audit_1985_1994,jae_c4f281018e87,10.5032_jaatea.1986.01013.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01013.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01013.json,Route_B_Legacy,ocr,era_3,5,13598,12764,17,17,17,1,1,1,1,0,1,0,0,,,
1986,audit_1985_1994,jae_2699e329451a,10.5032_jaatea.1986.01018.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01018.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01018.json,Route_B_Legacy,ocr,era_3,9,21542,19466,2772,1567,9087,0,0,0,0,13428,0,1828,533,0.29157549234135666,0.0005212987786714328,0.05809450038729667
1986,audit_1985_1994,jae_5101a0bc2218,10.5032_jaatea.1986.01027.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01027.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01027.json,Route_B_Legacy,ocr,era_3,6,17432,17319,6209,17,10825,0,1,0,1,17035,0,2380,729,0.3063025210084034,0.0001761080129145876,0.02001589710239179
1986,audit_1985_1994,jae_eba5ad2a0454,10.5032_jaatea.1986.01033.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01033.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01033.json,Route_B_Legacy,ocr,era_3,6,15287,13327,1030,1640,5190,0,0,0,0,7862,0,1073,324,0.3019571295433364,0.0002543881963876876,0.05680119581464873
